centillionth,-303
googolth,-100
trigintillionth,-93
novemvigintillionth,-90
octovigintillionth,-87
septenvigintillionth,-84
sexvigintillionth,-81
quinvigintillionth,-78
quattuorvigintillionth,-75
trevigintillionth,-72
duovigintillionth,-69
unvigintillionth,-66
vigintillionth,-63
novemdecillionth,-60
octodecillionth,-57
septendecillionth,-54
sexdecillionth,-51
quindecillionth,-48
quattuordecillionth,-45
tredecillionth,-42
duodecillionth,-39
undecillionth,-36
decillionth,-33
nonillionth,-30
octillionth,-27
septillionth,-24
sextillionth,-21
quintillionth,-18
quadrillionth,-15
trillionth,-12
billionth,-9
millionth,-6
hundred thousandth,-5
ten thousandth,-4
thousandth,-3
hundredth,-2
tenth,-1
one,0
ten,1
hundred,2
thousand,3
ten thousand,4
hundred thousand,5
million,6
ten million,7
hundred million,8
billion,9
trillion,12
quadrillion,15
quintillion,18
sextillion,21
septillion,24
octillion,27
nonillion,30
decillion,33
undecillion,36
duodecillion,39
tredecillion,42
quattuordecillion,45
quindecillion,48
sexdecillion,51
septendecillion,54
octodecillion,57
novemdecillion,60
vigintillion,63
unvigintillion,66
duovigintillion,69
trevigintillion,72
quattuorvigintillion,75
quinvigintillion,78
sexvigintillion,81
septenvigintillion,84
octovigintillion,87
novemvigintillion,90
trigintillion,93
googol,100
centillion,303
googolplex,googol
googolplexian,googolplex
